age,gender,region_category,membership_category,joining_date,joined_through_referral,preferred_offer_types,medium_of_operation,internet_option,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score
30,1,1,5,2015-12-11,0,0,1,0,20,100.42,86433.91,16.0,719.93,0,1,1,1,1,0
50,1,1,4,2015-10-25,0,1,0,0,18,154.7,24197.4,29.0,697.62,0,1,1,2,0,0
23,1,2,1,2015-10-22,1,2,0,0,10,65.25,5136.08,16.0,755.22,0,1,0,3,0,0
38,1,0,1,2017-10-15,0,0,1,1,8,324.75,28535.13,27.0,770.31,1,1,1,2,0,0
20,1,1,3,2015-01-27,1,2,0,2,16,237.39,25000.09,16.0,704.4,0,1,0,3,0,1
35,0,2,1,2016-10-30,0,1,1,2,20,148.24,30984.56,11.0,729.04,1,0,0,3,0,0
43,1,0,4,2017-04-26,1,2,2,0,16,773.83,9091.94,20.0,700.4,0,1,0,3,0,0
32,1,1,3,2017-07-24,1,2,0,2,13,117.68,19822.82,43.3600415,697.62,1,0,0,3,0,0
40,0,0,5,2015-08-22,0,0,1,2,18,251.06,63416.63,12.0,1087.184702,0,1,1,0,-1,0
40,0,0,3,2017-08-21,1,1,1,0,-999,46.57,24045.93,8.0,709.73,0,1,0,3,0,0
48,0,0,0,2017-03-17,0,1,1,0,12,539.49,49270.76,12.0,503.95,1,0,0,3,0,1
35,1,0,4,2015-05-11,0,0,1,1,12,34.48,48679.07,6.0,779.59,1,0,0,3,0,0
28,1,2,1,2017-05-17,1,0,1,2,9,-615.344319,13131.05,13.0,820.91,1,1,0,3,1,0
44,0,0,0,2016-08-23,1,2,2,0,13,283.49,7603.71,16.0,553.45,1,1,1,1,-1,1
40,1,0,4,2017-01-31,0,0,0,2,3,33.82,39735.58,25.0,784.32,1,0,1,4,0,0
18,0,1,2,2016-06-17,1,1,1,1,20,156.06,4783.23,28.75639925,597.87,1,0,1,4,0,0
10,1,0,2,2015-06-08,0,1,1,2,12,31.67,25436.23,16.0,656.67,0,1,0,3,0,1
35,1,0,0,2017-11-27,1,2,1,1,4,157.03,22975.33,18.0,548.1,0,1,0,3,0,1
43,1,0,0,2015-04-06,0,1,0,1,11,227.23,29602.15,24.0,663.63,0,1,1,1,0,1
28,1,2,2,2017-10-29,0,0,0,1,4,457.33,20883.28,14.0,-549.3574977,0,1,0,3,0,1
53,1,0,5,2017-01-27,0,2,0,2,6,228.02,46353.54,19.0,302.0058985,1,0,1,4,-1,0
55,0,0,4,2017-09-03,0,1,1,1,18,42.77,8996.95,16.0,749.56,1,0,1,1,0,0
59,0,0,0,2017-06-08,1,0,0,2,-999,207.52,12556.28,10.0,-44.59763258,0,1,0,3,-1,1
39,1,1,0,2016-12-01,0,0,0,1,13,98.57,2645.63,23.0,674.42,0,1,0,3,0,1
11,1,1,1,2016-06-22,0,1,0,0,23,176.31,8983.02,25.0,707.46,0,1,1,2,0,1
37,1,2,0,2016-05-17,0,2,2,1,17,687.16,29101.96,18.0,713.82,1,1,0,3,0,1
53,1,1,0,2017-04-06,0,1,0,0,-999,253.96,19233.1,25.0,1032.199126,1,0,1,2,0,1
57,1,0,0,2016-01-02,0,2,0,2,13,119.1,44341.82,16.0,563.92,1,0,1,4,0,1
47,1,0,3,2015-07-22,0,2,0,0,10,131.86,26399.43,17.0,757.01,0,1,1,0,0,0
50,1,0,1,2015-01-21,1,1,0,0,19,65.39,17054.69,21.0,353.3690015,0,1,1,2,-1,0
49,0,1,3,2016-08-25,1,0,0,0,3,74.9,41612.23,28.0,1196.569315,0,1,1,0,-1,1
54,1,0,3,2017-06-21,0,1,1,1,20,-687.629574,42060.89,24.0,684.69,1,0,1,4,0,1
30,1,2,1,2016-09-17,0,2,0,2,9,97.74,32347.7,27.0,697.62,0,1,0,3,0,0
25,0,1,3,2015-08-20,0,2,0,1,13,135.21,3561.26,17.0,697.62,1,0,1,2,0,0
53,0,1,4,2015-04-02,0,0,0,0,18,172.99,9044.15,8.0,763.14,1,0,1,0,-1,0
54,1,0,2,2015-08-07,1,1,1,2,13,254.72,11345.66,7.0,572.41,0,1,1,0,0,1
62,0,1,0,2016-10-13,0,2,2,2,5,304.52,47658.52,29.0,699.19,0,1,1,2,0,1
55,1,1,5,2015-04-14,1,1,2,1,1,1316.52,2367.56,25.0,441.8365499,1,0,0,3,-1,0
30,0,0,0,2017-11-13,0,1,0,0,13,264.54,40756.7,26.0,628.31,1,0,0,3,0,1
30,1,1,3,2017-06-03,0,1,1,2,12,191.41,25575.44,16.0,648.68,0,1,1,0,0,1
51,1,0,4,2015-12-10,1,2,0,0,13,135.09,48819.9,8.0,697.62,1,0,1,0,0,0
29,1,2,3,2017-11-07,1,0,1,2,12,123.37,13032.52,6.0,697.62,1,0,0,3,-1,1
16,1,1,3,2017-11-06,0,0,0,2,9,355.31,20457.22,5.0,1233.769727,1,1,1,0,0,0
25,0,2,1,2017-05-18,1,2,1,1,11,31.88,35414.54,20.0,788.67,0,1,0,3,-1,0
62,0,1,2,2017-07-06,0,1,1,0,14,125.0,38802.24,28.0,697.62,0,1,1,1,-1,1
24,0,0,4,2017-08-29,1,2,0,2,5,181.34,43554.96,1.0,728.69,1,0,1,0,-1,0
48,1,1,0,2015-03-27,1,0,0,1,8,960.62,13954.02,17.0,631.15,0,1,1,2,0,1
56,1,2,2,2017-08-22,1,1,0,0,24,48.59,28071.04,16.0,533.05,0,1,1,2,0,1
17,1,0,2,2016-12-28,1,1,0,0,12,30.12,15027.14,12.0,697.62,0,1,0,3,-1,1
23,0,0,1,2016-08-04,1,2,0,0,21,727.69,4919.72,13.0,758.83,1,1,0,3,0,0
42,0,1,0,2016-06-23,0,0,2,2,3,419.51,14661.42,16.0,404.4897584,0,1,1,0,-1,1
59,1,2,1,2015-09-01,1,2,2,1,8,899.04,49614.88,23.0,758.69,1,0,0,3,0,0
18,1,0,2,2015-12-22,0,1,0,1,11,293.42,2521.3,16.0,964.8409708,1,0,1,4,0,1
23,1,1,1,2015-06-21,1,1,0,0,10,934.3542198,11955.94,24.0,630.8,0,1,1,1,0,1
52,0,1,2,2017-11-13,1,1,1,1,4,826.51,14877.24,25.0,522.61,1,0,0,3,0,1
49,0,0,4,2016-09-02,1,0,0,1,21,115.41,41156.81,27.0,741.02,0,1,0,3,0,0
30,1,0,4,2017-05-14,0,0,0,0,7,481.45,4207.45,28.0,776.36,1,1,0,3,0,0
31,0,0,2,2016-08-18,0,0,0,1,14,148.95,2364.45,16.0,634.51,0,1,0,3,0,1
27,1,1,3,2016-10-23,0,1,1,1,21,357.45,29825.45,9.0,665.63,0,1,1,2,0,1
56,1,1,1,2016-04-24,0,2,0,2,21,1386.232857,9454.17,19.0,778.27,1,0,0,3,0,0
11,1,0,3,2016-08-24,0,1,0,2,15,96.14,11995.93,19.0,207.169769,1,0,0,3,0,1
31,0,0,3,2017-04-13,0,1,2,0,10,428.05,6325.08,28.0,80.09369313,0,1,0,3,0,1
29,1,0,4,2016-05-07,0,0,0,0,14,42.48,16098.94,21.0,766.85,1,0,1,2,0,0
31,0,1,3,2016-04-20,1,2,1,0,24,33.91,23226.43,7.0,762.48,0,1,1,2,0,0
11,0,0,2,2015-03-10,0,0,0,1,8,1060.527979,10990.31,16.0,271.7143813,1,0,0,3,0,1
14,1,0,2,2017-07-19,0,1,0,1,-999,1156.431904,32302.27,24.0,520.33,0,1,0,3,0,1
26,1,1,3,2017-11-14,1,0,1,1,7,187.91,17002.23,11.0,700.11,0,1,0,3,0,0
62,1,0,4,2016-01-09,0,1,0,1,10,284.09,48305.86,16.0,730.05,0,1,0,3,0,0
51,1,2,5,2017-09-22,0,2,0,2,3,-494.0838771,40667.27,19.0,809.83,1,0,0,3,1,0
43,0,2,3,2016-12-12,1,1,1,2,20,-771.4156089,16186.76,8.0,633.22,1,0,0,3,0,1
23,1,0,1,2016-03-17,0,0,0,2,12,109.76,46102.66,8.0,783.03,1,0,0,3,0,0
57,1,0,1,2015-08-30,1,0,0,0,-999,56.63,10171.97,23.0,757.61,1,0,1,0,-1,0
17,1,0,1,2015-11-12,1,0,1,0,21,81.15,46109.6,17.0,270.467656,1,0,0,3,-1,1
42,1,1,5,2015-06-08,1,1,1,0,10,1195.732666,31504.62,10.0,1207.253729,1,0,0,3,0,0
21,0,1,3,2016-03-11,0,1,0,1,7,99.95,22865.42,21.0,697.62,0,1,0,3,-1,0
46,1,2,0,2017-03-16,1,1,1,2,21,287.39,44809.68,27.0,629.6,0,1,0,3,0,1
41,1,0,3,2016-11-25,1,0,0,2,-999,892.02,36394.44,26.0,630.98,1,1,1,1,0,1
61,1,1,2,2017-05-31,0,0,1,1,7,115.29,13019.31,14.0,164.0703482,1,0,1,0,0,1
15,0,1,4,2015-08-04,0,0,0,2,5,185.05,43833.54,15.0,743.57,0,1,0,3,0,0
56,1,0,1,2016-07-08,1,1,0,1,16,30.16,33886.44,5.0,670.11,0,1,0,3,0,1
35,1,1,1,2015-03-26,0,2,2,2,17,219.13,70247.76,3.0,1293.169381,1,1,0,3,1,0
57,1,0,0,2015-01-13,1,1,1,0,8,400.35,30248.45,9.0,660.25,0,1,1,1,0,1
64,1,0,0,2015-03-16,0,1,0,0,20,49.24,39981.97,12.0,648.6,1,0,1,2,0,1
21,1,0,2,2017-02-28,1,1,1,1,16,590.85,21919.13,14.0,610.24,1,0,1,2,0,1
53,0,0,1,2017-01-27,0,1,1,0,22,1142.148835,34918.7,6.0,699.08,1,0,1,0,0,1
26,1,2,0,2017-06-26,1,1,0,1,16,138.33,8025.77,29.0,1016.785713,1,0,0,3,0,1
61,1,0,1,2016-01-08,1,1,1,1,7,516.46,45544.33,29.0,780.96,0,1,1,1,0,0
30,1,0,0,2015-04-28,0,2,0,2,19,211.19,2554.48,10.0,622.45,1,1,1,2,0,1
38,1,0,1,2015-08-13,1,0,0,2,19,942.84,49037.16,6.0,697.62,0,1,0,3,-1,0
35,0,1,1,2015-06-24,0,2,1,2,10,267.45,32922.76,8.0,701.45,0,1,0,3,-1,1
61,0,0,0,2017-07-17,1,0,0,0,22,34.37,3862.41,10.0,602.86,0,1,0,3,0,1
53,1,1,1,2017-05-05,0,1,0,1,19,213.34,8860.9,6.0,671.74,1,0,1,2,0,1
55,1,0,0,2017-11-26,0,1,0,0,23,50.48,8944.54,25.0,626.96,1,0,1,1,0,1
23,1,1,2,2016-01-30,1,1,1,0,13,1044.243494,26060.01,22.0,684.88,1,0,1,2,0,1
11,1,0,4,2015-04-23,1,0,2,1,-999,628.79,33199.52,22.0,777.94,1,0,1,4,0,0
22,1,0,0,2017-10-07,0,0,0,1,17,56.58,41050.72,15.0,697.62,1,0,1,2,0,1
37,1,2,3,2015-02-04,1,0,1,2,11,172.07,23587.32,28.0,326.1310709,1,0,0,3,0,1
31,1,0,5,2016-03-15,0,1,0,0,6,44.99,3087.16,8.0,750.95,1,0,0,3,-1,0
20,1,1,5,2016-12-22,0,0,1,1,11,144.33,54420.14,5.0,697.62,0,1,0,3,1,0
53,1,1,4,2017-09-02,1,2,2,2,7,787.74,20129.88,12.0,697.62,1,0,1,0,1,0
38,0,1,2,2017-05-24,0,0,0,2,26,30.49,37139.89,20.0,627.26,1,0,0,3,0,1
59,0,1,2,2016-08-31,0,2,2,0,8,400.21,33996.1,38.47159929,697.6,1,1,0,3,0,1
50,0,0,1,2016-02-26,1,1,1,2,13,103.36,39610.89,10.0,653.12,1,0,1,2,0,1
64,0,1,3,2015-03-30,0,1,1,1,8,58.15,27995.24,18.0,697.62,1,0,0,3,0,0
27,0,0,1,2017-03-27,1,1,1,0,10,862.2,35895.98,21.0,697.62,0,1,0,3,-1,1
12,0,0,1,2017-10-07,0,2,0,0,9,412.22,1313.11,18.0,733.13,1,1,0,3,-1,0
29,0,2,4,2016-01-04,1,0,1,0,19,222.69,18297.21,2.0,774.47,0,1,1,4,-1,0
39,0,1,3,2016-09-27,0,0,1,0,16,283.85,3888.65,18.0,959.92041,1,0,0,3,-1,0
37,0,1,4,2017-05-21,0,1,0,2,17,136.19,6965.48,5.0,1181.873763,1,0,0,3,0,0
37,0,0,1,2016-02-09,0,0,1,0,5,32.29,63097.55,-12.71431053,780.09,0,1,0,3,1,0
21,1,0,3,2015-07-01,0,0,0,0,12,145.45,48500.63,11.0,727.97,0,1,1,2,0,0
64,0,0,2,2017-09-26,0,1,1,2,10,313.84,23211.35,15.0,573.16,1,0,0,3,0,1
56,0,0,3,2016-02-03,0,2,1,0,11,254.72,28425.26,11.0,789.3,1,1,0,3,-1,0
37,0,0,2,2016-07-21,0,0,0,2,9,206.56,13037.39,13.0,616.68,1,0,1,0,0,1
55,1,0,2,2016-10-07,0,0,1,0,21,51.75,27564.76,24.0,660.59,0,1,0,3,0,1
18,1,1,2,2016-05-10,1,2,1,2,10,117.9,49537.82,7.0,528.08,1,0,1,2,0,1
27,0,0,3,2017-09-27,0,0,0,1,2,484.45,83453.57,14.0,788.97,0,1,1,1,1,0
57,1,0,4,2017-10-26,0,2,1,0,6,32.89,16340.59,-1.590067118,697.62,1,0,1,0,0,0
48,0,1,2,2017-09-23,1,1,0,1,15,77.18,49448.05,5.0,605.23,0,1,1,4,0,1
54,1,0,2,2016-07-24,0,1,0,0,8,60.77,45095.33,1.234738899,692.59,1,0,0,3,0,1
52,0,2,1,2017-12-31,0,2,1,1,15,197.85,42084.72,18.0,710.7,0,1,0,3,0,0
33,0,0,5,2017-09-20,1,2,2,1,11,502.4,4714.82,24.0,472.8025704,1,0,0,3,0,0
35,1,0,0,2017-03-05,1,1,1,2,6,33.96,6175.77,22.0,545.14,1,0,0,3,0,1
42,1,1,5,2015-10-06,0,2,2,1,13,617.09,33226.66,17.0,1053.420685,1,1,1,4,0,0
39,0,1,1,2017-10-27,0,0,0,2,9,34.93,42965.53,29.0,630.68,0,1,1,2,0,1
50,0,1,1,2016-06-15,1,2,0,2,20,198.19,20710.0,10.0,697.62,0,1,1,1,0,1
29,1,1,4,2015-01-08,1,0,0,0,11,317.25,17951.87,17.0,753.97,0,1,0,3,0,0
47,1,0,0,2017-01-05,1,1,0,2,5,876.87,41927.46,17.0,636.3,1,0,1,0,0,0
16,0,1,1,2017-04-30,0,0,0,0,8,133.36,21896.63,13.0,644.25,1,0,0,3,-1,1
48,1,0,2,2015-12-28,1,2,0,2,8,522.81,27264.0,11.0,556.79,1,1,1,0,0,1
14,0,1,0,2016-12-19,0,0,0,2,10,33.34,46392.24,24.0,582.93,1,0,0,3,0,1
13,0,2,4,2016-11-28,0,0,1,2,5,84.05,10423.83,29.0,1044.81538,0,1,1,4,-1,0
56,0,0,0,2016-09-04,1,2,0,0,19,69.22,14117.54,12.0,523.54,0,1,1,0,0,1
64,0,1,3,2016-09-29,0,0,0,1,14,32.16,67458.29,-13.64684955,764.62,1,0,1,0,1,0
47,1,0,0,2015-03-14,1,0,2,0,20,692.73,18404.11,19.0,1072.745128,1,0,1,4,0,1
46,0,0,4,2015-08-02,0,2,2,1,12,261.76,15786.32,16.0,704.13,0,1,0,3,0,0
45,1,0,4,2017-04-04,1,1,1,1,14,38.65,1225.14,9.0,700.07,1,0,1,1,0,0
60,0,0,4,2015-12-10,1,2,1,0,16,182.16,43782.88,16.0,761.49,0,1,1,0,1,0
19,0,0,4,2016-03-30,1,2,1,2,20,31.98,14432.03,24.0,730.04,1,0,1,2,0,0
21,0,0,3,2017-03-23,0,1,0,1,12,283.79,38527.24,26.0,760.53,1,0,1,4,-1,0
60,1,1,3,2015-07-27,0,1,2,1,9,1185.91225,29872.64,8.0,744.29,1,0,1,0,0,0
32,1,0,1,2017-11-11,0,1,1,1,17,329.16,37811.56,27.0,757.14,0,1,1,1,0,0
36,0,0,4,2017-12-09,1,0,2,2,7,700.63,26571.36,13.0,738.84,1,1,0,3,-1,0
52,0,0,2,2016-08-24,0,0,1,0,3,166.57,45964.8,17.0,630.0,1,0,1,4,0,1
39,1,0,0,2016-12-29,1,2,1,2,12,126.05,43632.02,16.0,594.51,1,0,0,3,0,1
42,0,1,3,2016-09-03,0,0,0,2,11,428.35,26483.73,14.0,713.42,0,1,0,3,-1,0
56,1,0,3,2017-05-03,1,1,0,0,16,148.06,15456.63,29.0,984.3321162,0,1,1,0,-1,1
17,0,0,1,2017-07-12,0,1,0,2,15,196.56,1246.57,22.0,766.76,1,0,1,0,-1,0
56,1,0,0,2016-08-30,0,2,0,0,10,359.98,38699.34,29.0,560.14,0,1,1,4,0,0
33,0,1,4,2017-12-29,0,1,0,1,22,32.47,25468.76,16.0,298.868694,0,1,0,3,0,0
33,0,1,1,2015-11-07,0,2,1,2,22,177.73,35286.1,16.0,709.01,1,0,1,4,0,1
41,1,0,2,2015-05-11,0,0,1,2,9,493.22,20294.0,23.0,697.62,1,0,0,3,0,1
42,0,1,2,2017-05-13,0,0,0,1,4,316.14,13516.16,20.0,659.85,0,1,1,2,0,1
43,1,0,1,2017-05-14,1,0,0,1,19,107.18,16027.34,4.0,1059.640736,0,1,1,2,1,0
12,0,1,0,2015-06-11,1,0,0,0,22,108.2,2998.4,26.0,678.14,1,0,1,4,0,1
23,0,2,2,2015-05-13,0,0,0,1,11,-900.2103186,14865.87,25.0,697.62,0,1,1,2,-1,1
14,0,0,1,2015-07-02,0,0,2,0,5,407.97,19138.74,12.0,697.62,0,1,0,3,0,1
62,0,0,1,2015-10-18,1,2,1,2,6,308.28,38497.78,21.0,792.37,1,0,1,1,0,0
60,1,0,1,2015-12-17,0,0,0,1,7,67.78,14175.2,16.0,464.501175,0,1,1,0,0,1
56,1,0,2,2016-07-23,1,2,0,1,5,732.71,47547.72,15.0,936.3622801,1,1,1,1,0,1
41,1,0,1,2015-06-14,1,0,0,2,22,188.96,40428.78,23.0,614.25,0,1,1,0,0,1
18,0,0,1,2016-05-02,0,2,0,0,21,32.82,46250.9,2.0,779.89,1,0,0,3,1,0
63,1,2,1,2017-03-25,1,1,2,2,17,1099.5,95625.4,13.0,697.62,0,1,0,3,1,0
23,1,1,1,2017-12-08,1,2,0,2,15,547.87,36383.39,4.0,763.15,0,1,1,2,-1,0
17,1,1,5,2017-10-30,1,1,0,1,14,80.4,15214.2,16.0,761.95,1,0,0,3,-1,0
42,0,1,1,2016-03-28,1,2,0,0,8,179.84,39667.91,10.0,-38.08431401,0,1,0,3,0,0
31,0,1,3,2017-02-01,0,2,0,0,10,731.24,36981.7,26.0,774.16,0,1,1,1,0,0
12,0,0,1,2017-06-02,0,1,0,0,13,49.19,35209.09,10.0,799.43,0,1,1,4,1,0
63,1,0,5,2017-11-13,0,0,1,2,15,30.66,15079.52,23.0,469.5653778,1,0,0,3,0,0
16,0,0,4,2017-11-03,0,0,0,2,7,34.49,31418.7,16.0,770.66,1,0,1,1,0,0
38,1,0,2,2016-02-04,1,2,0,1,17,117.11,29114.92,16.0,521.7,0,1,1,4,0,1
15,1,1,5,2015-12-18,0,0,0,0,-999,93.76,28456.92,5.0,704.31,0,1,0,3,0,0
30,1,1,0,2015-11-06,0,1,0,0,-999,121.38,13374.01,12.0,693.0,1,0,0,3,0,1
64,1,2,0,2016-10-11,0,0,2,1,10,445.01,37220.97,16.0,550.13,0,1,1,2,0,1
59,1,0,0,2015-01-29,1,1,1,1,10,628.79,40093.14,55.01616857,622.06,0,1,0,3,0,1
23,1,1,0,2015-08-04,0,0,0,2,11,31.45,18606.73,24.0,621.94,0,1,0,3,0,1
32,0,0,3,2015-06-22,0,2,1,0,24,38.88,41019.89,19.0,750.83,0,1,1,2,1,0
11,1,0,4,2015-05-03,1,0,1,0,12,85.52,10636.13,5.0,730.02,0,1,0,3,0,0
42,1,1,5,2016-07-30,1,1,0,1,22,1097.82189,27380.8,27.0,799.91,0,1,1,0,0,0
12,1,0,0,2017-11-01,0,2,0,0,8,322.3,14310.09,11.0,559.2451349,1,0,0,3,0,1
45,1,1,4,2015-07-01,1,0,0,0,13,31.2,37295.99,25.0,1196.60075,0,1,0,3,0,0
19,0,0,5,2015-03-24,1,2,1,2,11,38.63,23832.38,16.0,697.62,0,1,1,2,0,0
55,0,1,1,2015-08-06,0,2,1,2,12,291.94,97643.81,5.0,713.99,1,1,0,3,1,0
16,0,1,3,2017-02-27,0,2,0,0,-999,343.13,32605.84,16.0,335.2620818,0,1,0,3,0,1
56,1,1,5,2016-02-11,0,0,1,2,19,180.37,21460.83,27.0,240.158193,1,0,0,3,0,0
24,0,0,3,2016-11-08,1,0,0,1,23,31.81,36494.51,24.0,622.69,0,1,0,3,0,1
24,0,0,5,2015-01-14,0,2,1,1,12,31.86,21842.03,19.0,743.44,0,1,0,3,0,0
53,1,0,2,2015-06-11,0,1,0,1,5,428.81,40698.54,9.0,600.39,0,1,1,0,0,1
12,0,0,0,2015-08-18,0,1,0,0,17,97.85,31574.54,28.0,697.62,0,1,0,3,0,1
58,1,0,2,2015-02-19,0,2,0,2,19,1223.769011,47756.12,15.0,631.09,1,0,0,3,-1,1
63,0,2,4,2017-06-16,1,1,1,1,15,1090.92,12483.66,2.0,705.75,1,1,1,0,1,0
62,1,0,1,2016-07-07,0,0,1,1,13,402.05,20411.69,15.0,517.3513913,1,0,0,3,-1,0
48,0,2,5,2015-04-09,1,0,0,1,2,33.18,24394.24,16.0,1042.087064,0,1,1,4,0,0
60,1,0,1,2015-11-01,0,0,1,2,9,54.08,19078.81,17.0,752.88,1,0,1,2,0,0
64,0,1,2,2017-08-19,1,0,2,2,9,-408.2693519,36532.11,16.0,621.72,0,1,0,3,0,1
11,0,0,2,2016-12-10,0,0,1,2,5,106.24,47511.49,11.0,559.8,1,0,0,3,0,1
39,1,1,0,2015-06-02,0,0,0,1,15,46.22,35937.37,6.0,697.62,1,0,0,3,0,1
52,0,1,0,2016-10-09,0,2,0,2,15,45.45,47218.23,29.0,632.14,0,1,0,3,0,1
54,0,0,1,2016-11-11,1,0,1,2,2,67.48,47619.23,10.0,754.69,0,1,0,3,1,0
12,1,0,3,2015-04-23,1,1,1,0,2,226.47,27477.44,16.0,748.61,1,0,0,3,0,0
49,0,0,1,2015-01-05,1,1,1,2,9,714.55,10779.16,23.0,734.08,1,0,0,3,0,0
23,1,0,4,2017-02-03,0,2,0,0,16,125.89,77291.02,1.0,1085.770601,1,0,1,2,1,0
